Site ID,Name,Principal Investigator,Data Use Policy,AmeriFlux BASE Data,AmeriFlux FLUXNET Data,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Temperature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Number of years of AmeriFlux BASE data,AmeriFlux BASE Data Start,AmeriFlux BASE Data End,Years of AmeriFlux BASE Data,AmeriFlux BASE DOI,AmeriFlux FLUXNET Data Start,AmeriFlux FLUXNET Data End,Years of AmeriFlux FLUXNET Data,AmeriFlux FLUXNET DOI,Site Start,Site End,BASE variables available,FLUXNET variables available
PR-xGU,NEON Guanica Forest (GUAN),National Ecological Observatory Network (neon-ameriflux@battelleecology.org),CC-BY-4.0,Yes,No,EBF,Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage.,Am,Tropical monsoon,1168,25,Puerto Rico,17.9696,-66.8687,143,6,2018,2023,"2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1773393,,,,,2018,,"CH4, CH4_MIXING_RATIO, CO2, CO2C13, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, THROUGHFALL, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX",
PR-xLA,NEON Lajas Experimental Station (LAJA),National Ecological Observatory Network (neon-ameriflux@battelleecology.org),CC-BY-4.0,Yes,No,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Am,Tropical monsoon,1168,25,Puerto Rico,18.0212,-67.0769,24,6,2018,2023,"2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1773394,,,,,2018,,"CH4, CH4_MIXING_RATIO, CO2, CO2C13, CO2_MIXING_RATIO, FC, FETCH_90, FETCH_MAX, G, H, H2O, H2O_MIXING_RATIO, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, WS_MAX",
US-A03,ARM-AMF3-Oliktok,Ryan Sullivan (rcsullivan@anl.gov),CC-BY-4.0,Yes,No,BSV,"Barren Sparse Vegetation: Lands exposed soil, sand, or rocks and has less than 10% vegetative cover during any time of the year.",ET,Tundra,115.1,-11.2,USA,70.4953,-149.8823,5,8,2014,2021,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1498752,,,,,2014,,"ALB, CH4, CO2, FC, FCH4, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",
US-A10,ARM-NSA-Barrow,Ryan Sullivan (rcsullivan@anl.gov),CC-BY-4.0,Yes,No,BSV,"Barren Sparse Vegetation: Lands exposed soil, sand, or rocks and has less than 10% vegetative cover during any time of the year.",ET,Tundra,115.1,-11.2,USA,71.3242,-156.6149,4,10,2011,2020,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1498753,,,,,2012,,"ALB, CH4, CO2, FC, FCH4, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",
US-ALQ,Allequash Creek Site,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfb,Warm Summer Continental: significant precipitation in all seasons ,,,USA,46.0308,-89.6067,,10,2015,2024,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1480323,2015,2023,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2006964,2015,,"CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_90, FETCH_MAX, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SCH4, SH, SLE, SW_IN, SW_OUT, TA, TW, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD",
US-Aud,Audubon Research Ranch,Tilden Meyers (Tilden.Meyers@noaa.gov),Legacy,Yes,No,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Bsk,Steppe: warm winter,438.35,14.85,USA,31.5907,-110.5104,1469,10,2002,2011,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",https://doi.org/10.17190/AMF/1246028,,,,,2002,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-Bo1,Bondville,Tilden Meyers (Tilden.Meyers@noaa.gov),CC-BY-4.0,Yes,No,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",991.29,11.02,USA,40.0062,-88.2904,219,13,1996,2008,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",https://doi.org/10.17190/AMF/1246036,,,,,1996,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-Brw,Barrow,Walt Oechel (woechel@mail.sdsu.edu),Legacy,Yes,No,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",ET,Tundra,85,-12.6,USA,71.3225,-156.6092,1,10,1998,2007,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1246041,,,,,1998,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-CaV,Canaan Valley,Tilden Meyers (Tilden.Meyers@noaa.gov),Legacy,Yes,No,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfb,"Marine West Coast: mild with no dry season, warm summer",1317,7.97,USA,39.0633,-79.4208,994,7,2004,2010,"2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246042,,,,,2004,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-CdM,Cedar Mesa,Steve Kannenberg (steven.kannenberg@mail.wvu.edu),CC-BY-4.0,Yes,Yes,WSA,"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.",Bsk,Steppe: warm winter,348,11.3,USA,37.5241,-109.7471,1860,5,2019,2023,"2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1865477,2019,2023,"2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2469445,2019,,"CO2, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-Ced,Cedar Bridge,Ken Clark (kenneth.clark@usda.gov),CC-BY-4.0,Yes,No,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1138,11.04,USA,39.8379,-74.3791,58,10,2005,2014,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1246043,,,,,2005,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-CMW,Charleston Mesquite Woodland,Russell Scott (russ.scott@ars.usda.gov),CC-BY-4.0,Yes,No,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Bsh,Steppe: very cold winter,288,17,USA,31.6637,-110.1777,1199,22,2000,2021,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1660339,,,,,2001,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, USTAR, WD, WS",
US-Cop,Corral Pocket,David Bowling (david.bowling@utah.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",,,,,USA,38.09,-109.39,1520,7,2001,2007,"2001, 2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1246129,2001,2007,"2001, 2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/2006972,2001,2007,"CO2, FC, G, H, LE, NEE, NETRAD, P, PA, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-CS2,Tri county school Pine Forest,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",830,7,USA,44.1467,-89.5002,328,5,2018,2022,"2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1617711,2018,2022,"2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1881577,2018,2022,"CO2, FC, FC_SSITC_TEST, FETCH_90, FETCH_MAX, G, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, PA, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
US-Cwt,Coweeta,A. Christopher Oishi (andrew.c.oishi@usda.gov),CC-BY-4.0,Yes,No,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1800,13,USA,35.0592,-83.4275,690,5,2011,2015,"2011, 2012, 2013, 2014, 2015",https://doi.org/10.17190/AMF/1671890,,,,,2011,,"ALB, APAR, CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, PA, RECO, RH, SC, SW_IN, SW_OUT, TA, TAU, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, WD, WS",
US-Elm,Everglades (long hydroperiod marsh),Steve Oberbauer (oberbaue@fiu.edu),CC-BY-4.0,Yes,No,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",,,,,USA,25.5519,-80.7826,0.77,16,2008,2023,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246118,,,,,2007,,"CH4, CO2, CO2_SIGMA, FC, FCH4, G, GPP, H, H2O, H2O_SIGMA, LE, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, P_RAIN, RECO, RH, SC, SCH4, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",
US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",Ted Schuur (ted.Schuur@nau.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,ET,Tundra,378,-1,USA,63.8784,-149.2536,662,13,2008,2020,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1418678,2008,2020,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/2007170,2008,,"ALB, CH4, CO2, D_SNOW, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, PA, PPFD_IN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",
US-Esm,Everglades (short hydroperiod marsh),Steve Oberbauer (oberbaue@fiu.edu),CC-BY-4.0,Yes,No,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",,,,,USA,25.4379,-80.5946,1.07,16,2008,2023,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246119,,,,,2007,,"CH4, CO2, CO2_SIGMA, FC, FCH4, G, GPP, H, H2O, H2O_SIGMA, LE, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, P_RAIN, RECO, RH, SC, SCH4, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",
US-Fmf,Flagstaff - Managed Forest,Thomas Kolb (tom.kolb@nau.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",546,9.5,USA,35.1426,-111.7273,2160,6,2005,2010,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246050,2005,2010,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007173,2006,2010,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
US-FR3,Freeman Ranch- Woodland,Jim Heilman (j-heilman@tamu.edu),Legacy,Yes,No,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",869.23,19.59,USA,29.94,-97.99,232,9,2004,2012,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",https://doi.org/10.17190/AMF/1246055,,,,,2004,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-Fuf,Flagstaff - Unmanaged Forest,Thomas Kolb (tom.kolb@nau.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",562,8.7,USA,35.089,-111.762,2180,6,2005,2010,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246051,2005,2010,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007174,2006,2010,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
US-Fwf,Flagstaff - Wildfire,Thomas Kolb (tom.kolb@nau.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Csb,"Mediterranean: mild with dry, warm summer",557,8.4,USA,35.4454,-111.7718,2270,6,2005,2010,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246052,2005,2010,"2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2469452,2006,2010,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
US-GLE,GLEES,Rob Hubbard (robert.hubbard@usda.gov),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",1200,0.8,USA,41.3665,-106.2399,3197,22,1999,2020,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1246056,2005,2020,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1871136,2002,,"CO2, D_SNOW, FC, G, H, H2O, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SC, SW_BC_IN, SW_BC_OUT, SWC, SW_IN, SW_OUT, TA, TAU, T_CANOPY, TS, TSN, USTAR, VPD, WD, WS, ZL",
US-Ho1,Howland Forest (main tower),Andrew Ouimette (Andrew.Ouimette@usda.gov),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1070,5.27,USA,45.2041,-68.7402,60,29,1996,2024,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246061,1996,2023,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2469453,1996,,"CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, USTAR, VPD, WD, WS, WTD, ZL",
US-Ho2,Howland Forest (west tower),Andrew Ouimette (Andrew.Ouimette@usda.gov),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1064,5.13,USA,45.2091,-68.747,61,26,1999,2024,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246062,1999,2023,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1881581,1999,,"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, USTAR, VPD, WD, WS, ZL",
US-Ho3,Howland Forest (harvest site),Andrew Ouimette (Andrew.Ouimette@usda.gov),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1072,5.31,USA,45.2072,-68.725,61,7,2003,2009,"2003, 2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1246063,,,,,2000,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-Ivo,Ivotuk,Walter Oechel (woechel@mail.sdsu.edu),Legacy,Yes,No,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",ET,Tundra,304,-8.28,USA,68.4865,-155.7503,568,14,2003,2016,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1246067,,,,,2003,,"CO2, FC, FCH4, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
US-KFS,Kansas Field Station,Nathaniel Brunsell (brunsell@ku.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1014,12,USA,39.0561,-95.1907,310,13,2007,2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1246132,2007,2019,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1881585,2007,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PBLH, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, USTAR, VPD, WD, WS, ZL",
US-KLS,Kansas Land Institute,Nathaniel Brunsell (brunsell@ku.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",812,12,USA,38.7745,-97.5684,373,8,2012,2019,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1498745,2012,2019,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1854367,2012,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
